context_id,pair_id,verb,s1,s2,list_id
15,432,chosen,A: The columnist publicized which photographer the celebrity had chosen.,B: The columnist publicized which celebrity the photographer had chosen.,1
36,1129,gypped,A: Tonia explained which conman the housewife had gypped.,B: Tonia explained which housewife the conman had gypped.,1
49,1599,spit on,A: The farmer indicated which townsperson the donkey had spit on.,B: The farmer indicated which donkey the townsperson had spit on.,1
60,2004,committed,A: The security guard investigated which loiterer the patrolman had committed.,B: The security guard investigated which patrolman the loiterer had committed.,1
6,151,beaten,A: The judo master recognized which assailant the defender had beaten.,B: The judo master recognized which defender the assailant had beaten.,1
48,1545,appointed,A: The committee member guessed which advisors the president had appointed.,B: The committee member guessed which president the advisors had appointed.,1
50,1640,beaten,A: The military man knew which soldiers the general had beaten.,B: The military man knew which general the soldiers had beaten.,1
44,1447,spoofed,A: The queen recognized which nobleman the comedian had spoofed.,B: The queen recognized which comedian the nobleman had spoofed.,1
35,1103,loved,A: The undead king recognized which woman the zombie had loved.,B: The undead king recognized which zombie the woman had loved.,1
50,1612,respected,A: The military man knew which soldiers the general had respected.,B: The military man knew which general the soldiers had respected.,1
8,208,spilt,A: The restaurant owner forgot which waitress the customer had spilt.,B: The restaurant owner forgot which customer the waitress had spilt.,1
33,1036,photographed,A: The sailor saw which whale the man had photographed.,B: The sailor saw which man the whale had photographed.,1
12,328,befriended,A: The researcher learned which whale the biologist had befriended.,B: The researcher learned which biologist the whale had befriended.,1
9,247,fornicated,A: The head nun explained which friar the temptress had fornicated.,B: The head nun explained which temptress the friar had fornicated.,1
40,1269,attacked,A: The newscaster confirmed which fugitive the policeman had attacked.,B: The newscaster confirmed which policeman the fugitive had attacked.,1
40,1270,abducted,A: The newscaster confirmed which fugitive the policeman had abducted.,B: The newscaster confirmed which policeman the fugitive had abducted.,1
14,390,chosen,A: The birthday boy saw which friend the clown had chosen.,B: The birthday boy saw which clown the friend had chosen.,1
22,690,hurt,A: The camper reported which girl the bear had hurt.,B: The camper reported which bear the girl had hurt.,1
17,503,stabbed,A: The police officer noted which burglar the jeweler had stabbed.,B: The police officer noted which jeweler the burglar had stabbed.,1
60,2012,seen,A: The security guard investigated which loiterer the patrolman had seen.,B: The security guard investigated which patrolman the loiterer had seen.,1
9,241,connived,A: The head nun explained which friar the temptress had connived.,B: The head nun explained which temptress the friar had connived.,1
45,1472,combed,A: The reporter inquired which animals the groomer had combed.,B: The reporter inquired which groomer the animals had combed.,1
11,295,screwed,A: The nanny knew which billionaire the housekeeper had screwed.,B: The nanny knew which housekeeper the billionaire had screwed.,1
20,628,killed,A: The wildlife curator mentioned which ape the zookeeper had killed.,B: The wildlife curator mentioned which zookeeper the ape had killed.,1
59,1988,ridden,A: The four-year-old knew which hero the dragon had ridden.,B: The four-year-old knew which dragon the hero had ridden.,1
37,1161,deemed,A: The broadcaster explained which contestant the judge had deemed.,B: The broadcaster explained which judge the contestant had deemed.,1
24,739,hit,A: The high schooler heard which jock the geek had hit.,B: The high schooler heard which geek the jock had hit.,1
14,386,seen,A: The birthday boy saw which friend the clown had seen.,B: The birthday boy saw which clown the friend had seen.,1
42,1364,conned,A: The prison warden guessed which jailer the inmate had conned.,B: The prison warden guessed which inmate the jailer had conned.,1
41,1303,attacked,A: The opera composer revealed which singer the pirate had attacked.,B: The opera composer revealed which pirate the singer had attacked.,1
23,706,entertained,A: The dance instructor noticed which performers the onlookers had entertained.,B: The dance instructor noticed which onlookers the performers had entertained.,1
